,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jan,0.3558779389972483,0.47229027756728154,0.5066218394044513,0.5399112059914575,0.5298803806080079,0.5146470874963905,0.5100793219457237,0.5231683234155344,0.5199341698702231,0.49979476963596015,0.5065839797518673,0.5098104186491571,0.5139867444452396,0.5091941415623821,0.532941130214918,0.5231019278921354,0.5419997445938128,0.557286373705303,0.5354233098471187,0.5162716874228306,0.527234358012858,0.5235059066977301,0.5249942537931329
Feb,0.41217876885447985,0.4734373558122801,0.48594413197978475,0.5134966069744731,0.49552451587135027,0.48601820814963154,0.4800622551500415,0.4931330780791941,0.49754698440113826,0.4731051423935653,0.4858777897557489,0.47617391084267724,0.4869945267655262,0.48195252278591033,0.5117719936393312,0.5010693539809605,0.504071832173166,0.527280840364027,0.49851769504306537,0.4959761822576111,0.4951364044068804,0.5058710490633657,0.4930322434428419
Mar,0.457295821699084,0.48709084784234413,0.4914787616851495,0.49563189937827407,0.4992961049141633,0.48411785409263586,0.49103516937478126,0.49035077698799434,0.48819188244846834,0.4814159295415749,0.4905515116276765,0.4936408565069998,0.4926448160194407,0.49170746674627197,0.4906893266089674,0.5041738332680854,0.5017472935465038,0.5246529506881663,0.49773063498973835,0.4991854082918169,0.49842449254761095,0.5011547094151341,0.4931935623639956
Apr,0.5225987831165358,0.5243498440246744,0.5338345732060178,0.5443913654001179,0.5333800777963413,0.5407379348052269,0.5379044953779656,0.5380201798651865,0.5332711721353113,0.5348638054389933,0.5392112458416385,0.5653182861960667,0.5375644943595186,0.5521931755377055,0.5505585322814901,0.5761546377278097,0.5541534847761861,0.5573148830904628,0.5621241209987051,0.5535063378748335,0.5542000907563887,0.5570141638615839,0.5523998037638107
May,0.5755856990796824,0.5420502426249999,0.5750117517758216,0.5798296123320875,0.5816236286948007,0.5567143681209001,0.563132330563358,0.5513787304080654,0.5689807786816974,0.5615512931917271,0.5391149665777265,0.5790509516874119,0.5725105693099019,0.5677745459458845,0.5712949557775985,0.5838570079389035,0.5745008879009188,0.5747487499296862,0.5916309669904999,0.5763088909112435,0.5654379091246151,0.5584083742003366,0.5713880670374586
Jun,0.6341879658673373,0.5678908809114076,0.6143912178390711,0.6153093886178922,0.595430228472165,0.6023530613030235,0.5942760149275779,0.5994349744547867,0.6030702581909494,0.5934512820199288,0.602150904147835,0.6257796111905211,0.6086037687528287,0.6061219066815533,0.5933326376516419,0.627564792828051,0.6105695426073449,0.623194547933511,0.6119693968324778,0.6176590659009425,0.6117190997550122,0.6225516235939154,0.628416149461184
Jul,0.6286195544943914,0.6105550677019663,0.6402594440035997,0.6246415444452051,0.608433676398449,0.6024983606247835,0.637459278317484,0.6308975291348504,0.6305809866818604,0.62147726540455,0.6187323793963074,0.6083104941400413,0.6225941576717711,0.6253196633949071,0.621649584445061,0.6072291348708609,0.6205265052658805,0.628880846987988,0.6312159229270249,0.6321984105673628,0.6082244935822073,0.6237457269604222,0.6237429578428016
Aug,0.6024727902474752,0.631118180504088,0.6123390658444341,0.6027906272603873,0.5986837571284316,0.5896022940069373,0.5883479121016523,0.6002219516002317,0.5900953460435063,0.5952861781353013,0.6030842864879863,0.6050096290777587,0.6093287120821741,0.599740298612779,0.6001687379638604,0.6150477101026885,0.5996091516197949,0.6151483422572348,0.6174903800335418,0.6170958639755378,0.5976391921370583,0.6071901983961018,0.604258552601781
Sep,0.5346889360586701,0.5608655044713953,0.5785102925273917,0.5772449854987343,0.5697950892668425,0.5689827460351782,0.5582625703720959,0.5698293239916378,0.5580836747672232,0.5583915610540918,0.5741774779096456,0.583342224673434,0.589024713774989,0.5684026957261217,0.5807620298973287,0.5798695883520598,0.583932338301844,0.589208912688,0.5822617029202007,0.584654915698925,0.5814543478860564,0.5800356022065092,0.5935978075455102
Oct,0.5034369133683418,0.5155249150412368,0.5547927046911161,0.5471643586411787,0.5462045405924818,0.5333655427388821,0.5354849826937833,0.5441539830568044,0.5246875817634652,0.5287875325589602,0.5409432861555334,0.5498544435254064,0.5437071268858962,0.5446549351033144,0.5644184341739071,0.573637260161881,0.5676976997908858,0.5529934616806529,0.5558610812735488,0.5622568285260856,0.567002668991581,0.5554123225737124,0.5601848014665892
Nov,0.4820336205518282,0.48125979649973954,0.5213667884468303,0.5061393582590739,0.5190353286828648,0.49960637603382707,0.5024397757053175,0.4995739077054081,0.4958365036756952,0.48338025556643327,0.5079067981063055,0.5132398338510926,0.5100932330648194,0.5084480767832733,0.5267296929591051,0.5354695372207235,0.5445623227858474,0.5174798808978933,0.5317657732840999,0.5220154231771893,0.5183815403911235,0.5285257712462922,0.5247979160101263
Dec,0.500899934360656,0.5178816420672069,0.5545837694978636,0.5477711105269899,0.54581556683437,0.5461194094042858,0.5353453991261167,0.5309125751519793,0.5300239628575311,0.5250541218951603,0.5366693357961273,0.5498673541731022,0.5370208237901889,0.5398935278771935,0.5534407714119203,0.5655113238833291,0.5745039838672306,0.5497343466078403,0.5603338021933317,0.5545659742936425,0.5578900498605883,0.5596586061815724,0.5465547495916957
